category,subcategory,name,rasa_taste,virya_potency,vipaka_post_digestive,properties,dosha_effect,therapeutic_uses,contraindications,condition_disease,treatment_type,formulation_ingredients,preparation_method,dosage,diet_recommendation,lifestyle_recommendation,season,dosha_involved,symptom,prognosis,principle,source_reference,training_prompt,training_response
herb_substance,herb_properties,Ginger (shunthi),pungent,hot,sweet,"light, penetrating, dry",alleviates V and K,"digestive, nausea, indigestion, cold, cough, rheumatism",,,,,,,,,,,,,,Su27,What are the properties and uses of Ginger (shunthi) according to Charaka Samhita?,"Ginger (shunthi) has pungent taste (rasa), hot potency (virya), and sweet post-digestive effect (vipaka). Properties: light, penetrating, dry. Dosha effect: alleviates V and K. Therapeutic uses: digestive, nausea, indigestion, cold, cough, rheumatism. Source: Su27."
herb_substance,herb_properties,Black pepper (maricha),pungent,hot,pungent,"light, penetrating, dry",alleviates K and V,"digestive, respiratory, stimulates Agni",,,,,,,,,,,,,,Su27,What are the properties and uses of Black pepper (maricha) according to Charaka Samhita?,"Black pepper (maricha) has pungent taste (rasa), hot potency (virya), and pungent post-digestive effect (vipaka). Properties: light, penetrating, dry. Dosha effect: alleviates K and V. Therapeutic uses: digestive, respiratory, stimulates Agni. Source: Su27."
herb_substance,herb_properties,Trikatu (3 peppers),pungent,hot,pungent,"light, stimulating","alleviates V and K, increases Agni","indigestion, ama, cold, cough, obesity",,,,,,,,,,,,,,Su27,What are the properties and uses of Trikatu (3 peppers) according to Charaka Samhita?,"Trikatu (3 peppers) has pungent taste (rasa), hot potency (virya), and pungent post-digestive effect (vipaka). Properties: light, stimulating. Dosha effect: alleviates V and K, increases Agni. Therapeutic uses: indigestion, ama, cold, cough, obesity. Source: Su27."
herb_substance,herb_properties,"Triphala (3 fruits: amalaki, haritaki, bibhitaki)",all 5 tastes,cold,sweet,"light, cleansing, rasayana",alleviates all 3 doshas,"constipation, eye diseases, skin diseases, rasayana, anthelmintic",,,,,,,,,,,,,,Su27,"What are the properties and uses of Triphala (3 fruits: amalaki, haritaki, bibhitaki) according to Charaka Samhita?","Triphala (3 fruits: amalaki, haritaki, bibhitaki) has all 5 tastes taste (rasa), cold potency (virya), and sweet post-digestive effect (vipaka). Properties: light, cleansing, rasayana. Dosha effect: alleviates all 3 doshas. Therapeutic uses: constipation, eye diseases, skin diseases, rasayana, anthelmintic. Source: Su27."
herb_substance,herb_properties,Amalaki (Indian gooseberry),"sour, sweet, astringent, bitter, pungent",cold,sweet,"rasayana, heavy, unctuous",alleviates all 3 doshas,"general rejuvenator, anemia, bleeding disorders, eye health",,,,,,,,,,,,,,Su27,What are the properties and uses of Amalaki (Indian gooseberry) according to Charaka Samhita?,"Amalaki (Indian gooseberry) has sour, sweet, astringent, bitter, pungent taste (rasa), cold potency (virya), and sweet post-digestive effect (vipaka). Properties: rasayana, heavy, unctuous. Dosha effect: alleviates all 3 doshas. Therapeutic uses: general rejuvenator, anemia, bleeding disorders, eye health. Source: Su27."
herb_substance,herb_properties,Haritaki (chebulic myrobalan),all 5 tastes except salty,hot,sweet,"light, penetrating",alleviates all 3 doshas,"digestive, laxative, rasayana, worms, cough",,,,,,,,,,,,,,Su27,What are the properties and uses of Haritaki (chebulic myrobalan) according to Charaka Samhita?,"Haritaki (chebulic myrobalan) has all 5 tastes except salty taste (rasa), hot potency (virya), and sweet post-digestive effect (vipaka). Properties: light, penetrating. Dosha effect: alleviates all 3 doshas. Therapeutic uses: digestive, laxative, rasayana, worms, cough. Source: Su27."
herb_substance,herb_properties,Bibhitaki (beleric myrobalan),astringent,hot,sweet,"light, dry",alleviates all 3 doshas; specially K,"respiratory, eye diseases, worms",,,,,,,,,,,,,,Su27,What are the properties and uses of Bibhitaki (beleric myrobalan) according to Charaka Samhita?,"Bibhitaki (beleric myrobalan) has astringent taste (rasa), hot potency (virya), and sweet post-digestive effect (vipaka). Properties: light, dry. Dosha effect: alleviates all 3 doshas; specially K. Therapeutic uses: respiratory, eye diseases, worms. Source: Su27."
herb_substance,herb_properties,Bilva (bael fruit),astringent/sweet/bitter,hot,pungent,"light, digestive",alleviates V and K,"diarrhea, dysentery, digestive tonic",,,,,,,,,,,,,,Su27,What are the properties and uses of Bilva (bael fruit) according to Charaka Samhita?,"Bilva (bael fruit) has astringent/sweet/bitter taste (rasa), hot potency (virya), and pungent post-digestive effect (vipaka). Properties: light, digestive. Dosha effect: alleviates V and K. Therapeutic uses: diarrhea, dysentery, digestive tonic. Source: Su27."
herb_substance,herb_properties,Dashamula (10 roots),bitter/sweet/astringent,hot,pungent,light,alleviates V and K,"V disorders, pain, joint diseases, enema base",,,,,,,,,,,,,,Su27,What are the properties and uses of Dashamula (10 roots) according to Charaka Samhita?,"Dashamula (10 roots) has bitter/sweet/astringent taste (rasa), hot potency (virya), and pungent post-digestive effect (vipaka). Properties: light. Dosha effect: alleviates V and K. Therapeutic uses: V disorders, pain, joint diseases, enema base. Source: Su27."
herb_substance,herb_properties,Guduchi (giloy),bitter/astringent,hot,sweet,"light, penetrating, unctuous",alleviates all 3 doshas,"fever, diabetes, immune tonic, rasayana, liver",,,,,,,,,,,,,,Su27,What are the properties and uses of Guduchi (giloy) according to Charaka Samhita?,"Guduchi (giloy) has bitter/astringent taste (rasa), hot potency (virya), and sweet post-digestive effect (vipaka). Properties: light, penetrating, unctuous. Dosha effect: alleviates all 3 doshas. Therapeutic uses: fever, diabetes, immune tonic, rasayana, liver. Source: Su27."
herb_substance,herb_properties,Vidanga,pungent/bitter,hot,pungent,"light, penetrating",alleviates K and V,"anthelmintic, skin diseases, digestive",,,,,,,,,,,,,,Su27,What are the properties and uses of Vidanga according to Charaka Samhita?,"Vidanga has pungent/bitter taste (rasa), hot potency (virya), and pungent post-digestive effect (vipaka). Properties: light, penetrating. Dosha effect: alleviates K and V. Therapeutic uses: anthelmintic, skin diseases, digestive. Source: Su27."
herb_substance,herb_properties,Ashwagandha (withania),bitter/astringent,hot,sweet,"heavy, unctuous",alleviates V and K,"rasayana, debility, joint pain, sleep, sexual health",,,,,,,,,,,,,,Su27,What are the properties and uses of Ashwagandha (withania) according to Charaka Samhita?,"Ashwagandha (withania) has bitter/astringent taste (rasa), hot potency (virya), and sweet post-digestive effect (vipaka). Properties: heavy, unctuous. Dosha effect: alleviates V and K. Therapeutic uses: rasayana, debility, joint pain, sleep, sexual health. Source: Su27."
herb_substance,herb_properties,Shatavari (asparagus),sweet/bitter,cold,sweet,"heavy, unctuous, bulk-promoting",alleviates V and P,"female reproductive health, lactation, rasayana, ulcers",,,,,,,,,,,,,,Su27,What are the properties and uses of Shatavari (asparagus) according to Charaka Samhita?,"Shatavari (asparagus) has sweet/bitter taste (rasa), cold potency (virya), and sweet post-digestive effect (vipaka). Properties: heavy, unctuous, bulk-promoting. Dosha effect: alleviates V and P. Therapeutic uses: female reproductive health, lactation, rasayana, ulcers. Source: Su27."
herb_substance,herb_properties,Brahmi (bacopa),bitter/astringent,cold,sweet,light,alleviates P and K,"brain tonic, memory, epilepsy, skin diseases",,,,,,,,,,,,,,Su27,What are the properties and uses of Brahmi (bacopa) according to Charaka Samhita?,"Brahmi (bacopa) has bitter/astringent taste (rasa), cold potency (virya), and sweet post-digestive effect (vipaka). Properties: light. Dosha effect: alleviates P and K. Therapeutic uses: brain tonic, memory, epilepsy, skin diseases. Source: Su27."
herb_substance,herb_properties,Vacha (calamus),pungent/bitter,hot,pungent,"light, penetrating",alleviates V and K,"brain tonic, speech disorders, epilepsy, digestive",,,,,,,,,,,,,,Su27,What are the properties and uses of Vacha (calamus) according to Charaka Samhita?,"Vacha (calamus) has pungent/bitter taste (rasa), hot potency (virya), and pungent post-digestive effect (vipaka). Properties: light, penetrating. Dosha effect: alleviates V and K. Therapeutic uses: brain tonic, speech disorders, epilepsy, digestive. Source: Su27."
herb_substance,herb_properties,Nimba (neem),bitter/astringent,cold,pungent,"light, dry",alleviates K and P,"skin diseases, fever, worms, anti-infective",,,,,,,,,,,,,,Su27,What are the properties and uses of Nimba (neem) according to Charaka Samhita?,"Nimba (neem) has bitter/astringent taste (rasa), cold potency (virya), and pungent post-digestive effect (vipaka). Properties: light, dry. Dosha effect: alleviates K and P. Therapeutic uses: skin diseases, fever, worms, anti-infective. Source: Su27."
herb_substance,herb_properties,Chandana (sandalwood),bitter/astringent/sweet,cold,sweet,"light, subtle",alleviates P and K,"fever, burning sensation, skin diseases, P disorders",,,,,,,,,,,,,,Su27,What are the properties and uses of Chandana (sandalwood) according to Charaka Samhita?,"Chandana (sandalwood) has bitter/astringent/sweet taste (rasa), cold potency (virya), and sweet post-digestive effect (vipaka). Properties: light, subtle. Dosha effect: alleviates P and K. Therapeutic uses: fever, burning sensation, skin diseases, P disorders. Source: Su27."
herb_substance,herb_properties,Mustard (sarshapa),pungent,hot,pungent,"light, penetrating, sharp",alleviates V and K; aggravates P,"digestive, antifungal, liniment, purgation",,,,,,,,,,,,,,Su27,What are the properties and uses of Mustard (sarshapa) according to Charaka Samhita?,"Mustard (sarshapa) has pungent taste (rasa), hot potency (virya), and pungent post-digestive effect (vipaka). Properties: light, penetrating, sharp. Dosha effect: alleviates V and K; aggravates P. Therapeutic uses: digestive, antifungal, liniment, purgation. Source: Su27."
herb_substance,herb_properties,Turmeric (haridra),pungent/bitter,hot,pungent,"light, dry",alleviates K and P,"skin diseases, wounds, inflammation, diabetes, liver",,,,,,,,,,,,,,Su27,What are the properties and uses of Turmeric (haridra) according to Charaka Samhita?,"Turmeric (haridra) has pungent/bitter taste (rasa), hot potency (virya), and pungent post-digestive effect (vipaka). Properties: light, dry. Dosha effect: alleviates K and P. Therapeutic uses: skin diseases, wounds, inflammation, diabetes, liver. Source: Su27."
herb_substance,herb_properties,Rock candy/sugar (sita),sweet,cold,sweet,"heavy, unctuous",alleviates V and P,"burning sensation, wasting, nausea",,,,,,,,,,,,,,Su27,What are the properties and uses of Rock candy/sugar (sita) according to Charaka Samhita?,"Rock candy/sugar (sita) has sweet taste (rasa), cold potency (virya), and sweet post-digestive effect (vipaka). Properties: heavy, unctuous. Dosha effect: alleviates V and P. Therapeutic uses: burning sensation, wasting, nausea. Source: Su27."
herb_substance,herb_properties,Chyavan Prash (formula),all tastes,cold,sweet,rasayana,alleviates all 3 doshas,"immune tonic, respiratory, rasayana, general rejuvenator",,,,,,,,,,,,,,Ci-1.1,What are the properties and uses of Chyavan Prash (formula) according to Charaka Samhita?,"Chyavan Prash (formula) has all tastes taste (rasa), cold potency (virya), and sweet post-digestive effect (vipaka). Properties: rasayana. Dosha effect: alleviates all 3 doshas. Therapeutic uses: immune tonic, respiratory, rasayana, general rejuvenator. Source: Ci-1.1."
herb_substance,herb_properties,Silajit (shilajatu),bitter/pungent/astringent,hot,pungent,"light, penetrating",alleviates K and V,"rasayana, diabetes, urinary disorders, rejuvenation",,,,,,,,,,,,,,Ci-1.1,What are the properties and uses of Silajit (shilajatu) according to Charaka Samhita?,"Silajit (shilajatu) has bitter/pungent/astringent taste (rasa), hot potency (virya), and pungent post-digestive effect (vipaka). Properties: light, penetrating. Dosha effect: alleviates K and V. Therapeutic uses: rasayana, diabetes, urinary disorders, rejuvenation. Source: Ci-1.1."
herb_substance,herb_properties,Guggulu,bitter/pungent/astringent,hot,pungent,"light, penetrating, dry",alleviates V and K,"joint disorders, obesity, skin diseases, lipid disorders",,,,,,,,,,,,,,Ci-1.1,What are the properties and uses of Guggulu according to Charaka Samhita?,"Guggulu has bitter/pungent/astringent taste (rasa), hot potency (virya), and pungent post-digestive effect (vipaka). Properties: light, penetrating, dry. Dosha effect: alleviates V and K. Therapeutic uses: joint disorders, obesity, skin diseases, lipid disorders. Source: Ci-1.1."
herb_substance,herb_properties,Yastimadhu (licorice root),sweet,cold,sweet,"heavy, unctuous",alleviates V and P,"cough, ulcers, sore throat, rasayana, laxative",,,,,,,,,,,,,,Si8,What are the properties and uses of Yastimadhu (licorice root) according to Charaka Samhita?,"Yastimadhu (licorice root) has sweet taste (rasa), cold potency (virya), and sweet post-digestive effect (vipaka). Properties: heavy, unctuous. Dosha effect: alleviates V and P. Therapeutic uses: cough, ulcers, sore throat, rasayana, laxative. Source: Si8."
herb_substance,herb_properties,Shatapushpa (dill),pungent/bitter,hot,pungent,"light, digestive",alleviates V and K,"digestive, carminative, galactagogue",,,,,,,,,,,,,,Su27,What are the properties and uses of Shatapushpa (dill) according to Charaka Samhita?,"Shatapushpa (dill) has pungent/bitter taste (rasa), hot potency (virya), and pungent post-digestive effect (vipaka). Properties: light, digestive. Dosha effect: alleviates V and K. Therapeutic uses: digestive, carminative, galactagogue. Source: Su27."
herb_substance,herb_properties,Punarnava (spreading hogweed),bitter/sweet/astringent,cold,sweet,"light, dry",alleviates all 3 doshas,"diuretic, edema, liver, kidney, rasayana",,,,,,,,,,,,,,Su27,What are the properties and uses of Punarnava (spreading hogweed) according to Charaka Samhita?,"Punarnava (spreading hogweed) has bitter/sweet/astringent taste (rasa), cold potency (virya), and sweet post-digestive effect (vipaka). Properties: light, dry. Dosha effect: alleviates all 3 doshas. Therapeutic uses: diuretic, edema, liver, kidney, rasayana. Source: Su27."
herb_substance,herb_properties,Kutaja (kurchi),bitter/astringent,cold,pungent,"light, dry",alleviates P and K,"diarrhea, dysentery, blood disorders, anthelmintic",,,,,,,,,,,,,,Su27,What are the properties and uses of Kutaja (kurchi) according to Charaka Samhita?,"Kutaja (kurchi) has bitter/astringent taste (rasa), cold potency (virya), and pungent post-digestive effect (vipaka). Properties: light, dry. Dosha effect: alleviates P and K. Therapeutic uses: diarrhea, dysentery, blood disorders, anthelmintic. Source: Su27."
herb_substance,herb_properties,Musta (nut grass),bitter/pungent/astringent,cold,pungent,"light, dry",alleviates P and K,"fever, diarrhea, digestive, ama",,,,,,,,,,,,,,Si8,What are the properties and uses of Musta (nut grass) according to Charaka Samhita?,"Musta (nut grass) has bitter/pungent/astringent taste (rasa), cold potency (virya), and pungent post-digestive effect (vipaka). Properties: light, dry. Dosha effect: alleviates P and K. Therapeutic uses: fever, diarrhea, digestive, ama. Source: Si8."
herb_substance,herb_properties,Ativisa (aconite root),bitter/pungent,hot,pungent,"light, dry",alleviates V and K,"fever, diarrhea, digestive tonic, respiratory",,,,,,,,,,,,,,Si8,What are the properties and uses of Ativisa (aconite root) according to Charaka Samhita?,"Ativisa (aconite root) has bitter/pungent taste (rasa), hot potency (virya), and pungent post-digestive effect (vipaka). Properties: light, dry. Dosha effect: alleviates V and K. Therapeutic uses: fever, diarrhea, digestive tonic, respiratory. Source: Si8."
herb_substance,herb_properties,Rasna,bitter/sweet,hot,pungent,"light, penetrating",alleviates V,"joint diseases, pain, gout",,,,,,,,,,,,,,Si8,What are the properties and uses of Rasna according to Charaka Samhita?,"Rasna has bitter/sweet taste (rasa), hot potency (virya), and pungent post-digestive effect (vipaka). Properties: light, penetrating. Dosha effect: alleviates V. Therapeutic uses: joint diseases, pain, gout. Source: Si8."
herb_substance,herb_properties,Devadaru (cedar),bitter/pungent,hot,pungent,"light, dry, penetrating",alleviates V and K,"joint pain, cough, fever, skin diseases",,,,,,,,,,,,,,Si8,What are the properties and uses of Devadaru (cedar) according to Charaka Samhita?,"Devadaru (cedar) has bitter/pungent taste (rasa), hot potency (virya), and pungent post-digestive effect (vipaka). Properties: light, dry, penetrating. Dosha effect: alleviates V and K. Therapeutic uses: joint pain, cough, fever, skin diseases. Source: Si8."
herb_substance,herb_properties,Tagara (Indian valerian),bitter/pungent,hot,pungent,"light, penetrating",alleviates V and K,"insomnia, joint diseases, pain, mental disorders",,,,,,,,,,,,,,Si8,What are the properties and uses of Tagara (Indian valerian) according to Charaka Samhita?,"Tagara (Indian valerian) has bitter/pungent taste (rasa), hot potency (virya), and pungent post-digestive effect (vipaka). Properties: light, penetrating. Dosha effect: alleviates V and K. Therapeutic uses: insomnia, joint diseases, pain, mental disorders. Source: Si8."
herb_substance,herb_properties,Goksura (tribulus),sweet/astringent,cold,sweet,light,alleviates V and P,"diuretic, urinary disorders, dysuria, kidney stones",,,,,,,,,,,,,,Si8,What are the properties and uses of Goksura (tribulus) according to Charaka Samhita?,"Goksura (tribulus) has sweet/astringent taste (rasa), cold potency (virya), and sweet post-digestive effect (vipaka). Properties: light. Dosha effect: alleviates V and P. Therapeutic uses: diuretic, urinary disorders, dysuria, kidney stones. Source: Si8."
herb_substance,herb_properties,Cow's urine (gomutra),pungent/salty/sour/bitter/astringent,hot,pungent,"light, penetrating",alleviates V and K,"skin diseases, liver, worms, digestive",,,,,,,,,,,,,,Su27,What are the properties and uses of Cow's urine (gomutra) according to Charaka Samhita?,"Cow's urine (gomutra) has pungent/salty/sour/bitter/astringent taste (rasa), hot potency (virya), and pungent post-digestive effect (vipaka). Properties: light, penetrating. Dosha effect: alleviates V and K. Therapeutic uses: skin diseases, liver, worms, digestive. Source: Su27."
herb_substance,herb_properties,Barley (yava),sweet/astringent,cold,sweet,"light, dry, rough",alleviates K; neutral for V and P,"digestive, diuretic, weight management, skin disorders",,,,,,,,,,,,,,Su27,What are the properties and uses of Barley (yava) according to Charaka Samhita?,"Barley (yava) has sweet/astringent taste (rasa), cold potency (virya), and sweet post-digestive effect (vipaka). Properties: light, dry, rough. Dosha effect: alleviates K; neutral for V and P. Therapeutic uses: digestive, diuretic, weight management, skin disorders. Source: Su27."
herb_substance,herb_properties,Wheat (godhuma),sweet,cold,sweet,"heavy, unctuous, bulk-promoting",alleviates V and P,"strength, nourishment, anemia, wasting",,,,,,,,,,,,,,Su27,What are the properties and uses of Wheat (godhuma) according to Charaka Samhita?,"Wheat (godhuma) has sweet taste (rasa), cold potency (virya), and sweet post-digestive effect (vipaka). Properties: heavy, unctuous, bulk-promoting. Dosha effect: alleviates V and P. Therapeutic uses: strength, nourishment, anemia, wasting. Source: Su27."
herb_substance,herb_properties,Old rice (purana shali),sweet/astringent,cold,sweet,"light, dry",alleviates all 3 doshas,"easily digestible, fever diet, diarrhea, convalescence",,,,,,,,,,,,,,Su27,What are the properties and uses of Old rice (purana shali) according to Charaka Samhita?,"Old rice (purana shali) has sweet/astringent taste (rasa), cold potency (virya), and sweet post-digestive effect (vipaka). Properties: light, dry. Dosha effect: alleviates all 3 doshas. Therapeutic uses: easily digestible, fever diet, diarrhea, convalescence. Source: Su27."
herb_substance,herb_properties,Horse gram (kulatha),sour/astringent/sweet,hot,pungent,"light, rough, dry",alleviates V and K,"respiratory, fever, urinary disorders, kidney stones",,,,,,,,,,,,,,Su27,What are the properties and uses of Horse gram (kulatha) according to Charaka Samhita?,"Horse gram (kulatha) has sour/astringent/sweet taste (rasa), hot potency (virya), and pungent post-digestive effect (vipaka). Properties: light, rough, dry. Dosha effect: alleviates V and K. Therapeutic uses: respiratory, fever, urinary disorders, kidney stones. Source: Su27."
herb_substance,herb_properties,Black gram (masha),sweet,hot,sweet,"heavy, unctuous, bulk-promoting",alleviates V; increases K and P,"nourishment, reproductive health, joint pain",,,,,,,,,,,,,,Su27,What are the properties and uses of Black gram (masha) according to Charaka Samhita?,"Black gram (masha) has sweet taste (rasa), hot potency (virya), and sweet post-digestive effect (vipaka). Properties: heavy, unctuous, bulk-promoting. Dosha effect: alleviates V; increases K and P. Therapeutic uses: nourishment, reproductive health, joint pain. Source: Su27."
herb_substance,herb_properties,Curd (dadhi),sour/sweet,hot,sour,"heavy, unctuous",alleviates V; increases K and P,"digestive disorders, diarrhea, anemia; avoid at night",,,,,,,,,,,,,,Su27,What are the properties and uses of Curd (dadhi) according to Charaka Samhita?,"Curd (dadhi) has sour/sweet taste (rasa), hot potency (virya), and sour post-digestive effect (vipaka). Properties: heavy, unctuous. Dosha effect: alleviates V; increases K and P. Therapeutic uses: digestive disorders, diarrhea, anemia; avoid at night. Source: Su27."
herb_substance,herb_properties,Buttermilk (takra),sour/sweet/astringent,hot,sour,"light, digestive",alleviates V and K; slightly increases P,"digestive, diarrhea, piles, malabsorption, grahani",,,,,,,,,,,,,,Su27,What are the properties and uses of Buttermilk (takra) according to Charaka Samhita?,"Buttermilk (takra) has sour/sweet/astringent taste (rasa), hot potency (virya), and sour post-digestive effect (vipaka). Properties: light, digestive. Dosha effect: alleviates V and K; slightly increases P. Therapeutic uses: digestive, diarrhea, piles, malabsorption, grahani. Source: Su27."
herb_substance,herb_properties,Sugarcane juice (ikshurasa),sweet,cold,sweet,"heavy, unctuous, bulk-promoting",alleviates V and P,"diuretic, strength, nourishment, wasting",,,,,,,,,,,,,,Su27,What are the properties and uses of Sugarcane juice (ikshurasa) according to Charaka Samhita?,"Sugarcane juice (ikshurasa) has sweet taste (rasa), cold potency (virya), and sweet post-digestive effect (vipaka). Properties: heavy, unctuous, bulk-promoting. Dosha effect: alleviates V and P. Therapeutic uses: diuretic, strength, nourishment, wasting. Source: Su27."
herb_substance,herb_properties,Patola (pointed gourd),bitter,cold,pungent,"light, dry",alleviates P and K,"fever, skin diseases, diabetes, digestive",,,,,,,,,,,,,,Si8,What are the properties and uses of Patola (pointed gourd) according to Charaka Samhita?,"Patola (pointed gourd) has bitter taste (rasa), cold potency (virya), and pungent post-digestive effect (vipaka). Properties: light, dry. Dosha effect: alleviates P and K. Therapeutic uses: fever, skin diseases, diabetes, digestive. Source: Si8."
herb_substance,herb_properties,Saptaparna (devil tree bark),bitter/astringent,cold,pungent,"light, dry",alleviates P and K,"fever, skin diseases, worms, diarrhea",,,,,,,,,,,,,,Si8,What are the properties and uses of Saptaparna (devil tree bark) according to Charaka Samhita?,"Saptaparna (devil tree bark) has bitter/astringent taste (rasa), cold potency (virya), and pungent post-digestive effect (vipaka). Properties: light, dry. Dosha effect: alleviates P and K. Therapeutic uses: fever, skin diseases, worms, diarrhea. Source: Si8."
herb_substance,herb_properties,Citraka (leadwort),pungent,hot,pungent,"light, dry, penetrating",alleviates V and K,"digestive, piles, skin diseases, malabsorption",,,,,,,,,,,,,,Su27,What are the properties and uses of Citraka (leadwort) according to Charaka Samhita?,"Citraka (leadwort) has pungent taste (rasa), hot potency (virya), and pungent post-digestive effect (vipaka). Properties: light, dry, penetrating. Dosha effect: alleviates V and K. Therapeutic uses: digestive, piles, skin diseases, malabsorption. Source: Su27."
herb_substance,herb_properties,Ajwain/Carom (yavani),pungent/bitter,hot,pungent,"light, dry, penetrating",alleviates V and K,"digestive, carminative, respiratory, abdominal pain",,,,,,,,,,,,,,Su27,What are the properties and uses of Ajwain/Carom (yavani) according to Charaka Samhita?,"Ajwain/Carom (yavani) has pungent/bitter taste (rasa), hot potency (virya), and pungent post-digestive effect (vipaka). Properties: light, dry, penetrating. Dosha effect: alleviates V and K. Therapeutic uses: digestive, carminative, respiratory, abdominal pain. Source: Su27."
